T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
0.00,3.00,60.00,0.60,12.00,0,0,0,0,0,0
0.05,31.00,560.00,6.68,121.60,0,0,0,0,0,0
0.10,21.00,-200.00,9.54,57.28,0,0,0,0,0,0
0.15,26.00,100.00,12.84,65.82,0,0,0,0,0,0
0.20,24.00,-40.00,15.07,44.66,0,0,0,0,0,0
0.25,38.00,280.00,19.65,91.73,0,0,0,0,0,0
0.30,45.00,140.00,24.72,101.38,0,0,0,0,0,0
0.35,27.00,-360.00,25.18,9.11,0,0,0,0,0,0
0.40,47.00,400.00,29.54,87.28,0,0,0,0,0,0
0.45,49.00,40.00,33.43,77.83,0,0,0,0,0,0
0.50,54.00,100.00,37.55,82.26,0,0,0,0,0,0
0.55,55.00,20.00,41.04,69.81,0,0,0,0,0,0
0.60,76.00,420.00,48.03,139.85,0,0,0,0,0,0
0.65,81.00,100.00,54.62,131.88,0,0,0,0,0,0
0.70,92.00,220.00,62.10,149.50,0,0,0,0,0,0
0.75,98.00,120.00,69.28,143.60,0,0,0,0,0,0
0.80,116.00,360.00,78.62,186.88,0,0,0,0,0,0
0.85,120.00,80.00,86.90,165.51,0,0,0,0,0,0
0.90,130.00,200.00,95.52,172.40,0,0,0,0,0,0
0.95,135.00,100.00,103.42,157.92,0,0,0,0,0,0
1.00,121.00,-280.00,106.93,70.34,0,0,0,0,0,0
1.05,131.00,200.00,111.75,96.27,0,0,0,0,0,0
1.10,157.00,520.00,120.80,181.02,0,0,0,0,0,0
1.15,179.00,440.00,132.44,232.81,0,0,0,0,0,0
1.20,203.00,480.00,146.55,282.25,203,0,0,0,0,0
1.25,235.00,640.00,164.24,353.80,0,0,0,0,0,0
1.30,248.00,260.00,180.99,335.04,0,0,0,0,0,0
1.35,281.00,660.00,200.99,400.03,0,0,0,0,0,0
1.40,288.00,140.00,218.39,348.03,0,0,0,0,0,0
1.45,309.00,420.00,236.52,362.42,0,0,0,0,0,0
1.50,326.00,340.00,254.41,357.94,0,0,0,0,0,0
1.55,337.00,220.00,270.93,330.35,0,0,0,0,0,0
1.60,346.00,180.00,285.94,300.28,0,0,0,0,0,0
1.65,369.00,460.00,302.56,332.22,0,0,0,0,0,0
1.70,389.00,400.00,319.84,345.78,0,0,0,0,0,0
1.75,417.00,560.00,339.28,388.62,0,0,0,0,0,0
1.80,445.00,560.00,360.42,422.90,0,0,0,0,0,0
1.85,469.00,480.00,382.14,434.32,0,0,0,0,0,0
1.90,499.00,600.00,405.51,467.45,0,0,0,0,0,0
1.95,530.00,620.00,430.41,497.96,0,0,0,0,0,0
2.00,560.00,600.00,456.33,518.37,0,0,0,0,0,0
2.05,596.00,720.00,484.26,558.70,0,0,0,0,0,0
2.10,631.00,700.00,513.61,586.96,0,0,0,0,0,0
2.15,657.00,520.00,542.29,573.57,0,0,0,0,0,0
2.20,678.00,420.00,569.43,542.85,0,0,0,0,0,0
2.25,709.00,620.00,597.34,558.28,0,0,0,0,0,0
2.30,744.00,700.00,626.67,586.63,0,0,0,0,0,0
2.35,772.00,560.00,655.74,581.30,0,0,0,0,0,0
2.40,808.00,720.00,686.19,609.04,0,0,0,0,0,0
2.45,838.00,600.00,716.55,607.23,0,0,0,0,0,0
2.50,879.00,820.00,749.04,649.79,0,0,0,0,0,0
2.55,916.00,740.00,782.43,667.83,0,0,0,0,0,0
2.60,948.00,640.00,815.55,662.26,0,0,0,0,0,0
2.65,984.00,720.00,849.24,673.81,0,0,0,0,0,0
2.70,1020.00,720.00,883.39,683.05,0,0,0,0,0,0
2.75,1057.00,740.00,918.11,694.44,0,0,0,0,0,0
2.80,1093.00,720.00,953.09,699.55,0,0,0,0,0,0
2.85,1128.00,700.00,988.07,699.64,0,0,0,0,0,0
2.90,1165.00,740.00,1023.46,707.71,0,0,0,0,0,0
2.95,1209.00,880.00,1060.57,742.17,0,0,0,0,0,0
3.00,1248.00,780.00,1098.05,749.74,0,0,0,0,0,0
3.05,1260.00,240.00,1130.44,647.79,0,0,0,0,0,0
3.10,1283.00,460.00,1160.95,610.23,0,0,0,0,0,0
3.15,1282.00,-20.00,1185.16,484.18,0,0,0,0,0,0
3.20,1291.00,180.00,1206.33,423.35,0,0,0,0,0,0
3.25,1337.00,920.00,1232.46,522.68,0,0,0,0,0,0
3.30,1372.00,700.00,1260.37,558.14,0,0,0,0,0,0
3.35,1401.00,580.00,1288.50,562.51,0,0,0,0,0,0
3.40,1458.00,1140.00,1322.40,678.01,0,0,0,0,0,0
3.45,1503.00,900.00,1358.52,722.41,0,0,0,0,0,0
3.50,1537.00,680.00,1394.21,713.93,0,0,0,0,0,0
3.55,1594.00,1140.00,1434.17,799.14,0,0,0,0,0,0
3.60,1626.00,640.00,1472.54,767.31,0,0,0,0,0,0
3.65,1678.00,1040.00,1513.63,821.85,0,0,0,0,0,0
3.70,1704.00,520.00,1551.70,761.48,0,0,0,0,0,0
3.75,1753.00,980.00,1591.96,805.19,0,0,0,0,0,0
3.80,1790.00,740.00,1631.57,792.15,0,0,0,0,0,0
3.85,1821.00,620.00,1669.46,757.72,0,0,0,0,0,0
3.90,1875.00,1080.00,1710.57,822.18,0,0,0,0,0,0
3.95,1900.00,500.00,1748.45,757.74,0,0,0,0,0,0
4.00,1962.00,1240.00,1791.16,854.19,0,0,0,0,0,0
4.05,1989.00,540.00,1830.73,791.35,0,0,0,0,0,0
4.10,2025.00,720.00,1869.58,777.08,0,0,0,0,0,0
4.15,2074.00,980.00,1910.47,817.67,0,0,0,0,0,0
4.20,2104.00,600.00,1949.17,774.13,0,0,0,0,0,0
4.25,2141.00,740.00,1987.54,767.31,0,0,0,0,0,0
4.30,2188.00,940.00,2027.63,801.85,0,0,0,0,0,0
4.35,2224.00,720.00,2066.90,785.47,0,0,0,0,0,0
4.40,2256.00,640.00,2104.72,756.38,0,0,0,0,0,0
4.45,2302.00,920.00,2144.18,789.11,0,0,0,0,0,0
4.50,2331.00,580.00,2181.54,747.29,0,0,0,0,0,0
4.55,2382.00,1020.00,2221.63,801.83,0,0,0,0,0,0
4.60,2416.00,680.00,2260.51,777.46,0,0,0,0,0,0
4.65,2449.00,660.00,2298.21,753.97,0,0,0,0,0,0
4.70,2488.00,780.00,2336.17,759.17,0,0,0,0,0,0
4.75,2520.00,640.00,2372.93,735.34,0,0,0,0,0,0
4.80,2550.00,600.00,2408.35,708.27,0,0,0,0,0,0
4.85,2586.00,720.00,2443.88,710.62,0,0,0,0,0,0
4.90,2634.00,960.00,2481.90,760.49,0,0,0,0,0,0
4.95,2664.00,600.00,2518.32,728.39,0,0,0,0,0,0
5.00,2703.00,780.00,2555.26,738.72,0,0,0,0,0,0
5.05,2740.00,740.00,2592.21,738.97,0,0,0,0,0,0
5.10,2779.00,780.00,2629.56,747.18,0,0,0,0,0,0
5.15,2811.00,640.00,2665.85,725.74,0,0,0,0,0,0
5.20,2852.00,820.00,2703.08,744.59,0,0,0,0,0,0
5.25,2884.00,640.00,2739.26,723.68,0,0,0,0,0,0
5.30,2911.00,540.00,2773.61,686.94,0,0,0,0,0,0
5.35,2951.00,800.00,2809.09,709.55,0,0,0,0,0,0
5.40,2987.00,720.00,2844.67,711.64,0,0,0,0,0,0
5.45,3010.00,460.00,2877.74,661.31,0,0,0,0,0,0
5.50,3050.00,800.00,2912.19,689.05,0,0,0,0,0,0
5.55,3086.00,720.00,2946.95,695.24,0,0,0,0,0,0
5.60,3117.00,620.00,2980.96,680.20,0,0,0,0,0,0
5.65,3155.00,760.00,3015.77,696.15,0,0,0,0,0,0
5.70,3182.00,540.00,3049.02,664.92,0,0,0,0,0,0
5.75,3221.00,780.00,3083.41,687.94,0,0,0,0,0,0
5.80,3258.00,740.00,3118.33,698.35,0,0,0,0,0,0
5.85,3291.00,660.00,3152.86,690.68,0,0,0,0,0,0
5.90,3321.00,600.00,3186.49,672.54,0,0,0,0,0,0
5.95,3345.00,480.00,3218.19,634.04,0,0,0,0,0,0
6.00,3382.00,740.00,3250.95,655.23,0,0,0,0,0,0
6.05,3412.00,600.00,3283.16,644.18,0,0,0,0,0,0
6.10,3444.00,640.00,3315.33,643.34,0,0,0,0,0,0
6.15,3471.00,540.00,3346.46,622.68,0,0,0,0,0,0
6.20,3513.00,840.00,3379.77,666.14,0,0,0,0,0,0
6.25,3545.00,640.00,3412.82,660.91,0,0,0,0,0,0
6.30,3579.00,680.00,3446.05,664.73,0,0,0,0,0,0
6.35,3611.00,640.00,3479.04,659.79,0,0,0,0,0,0
6.40,3640.00,580.00,3511.23,643.83,0,0,0,0,0,0
6.45,3662.00,440.00,3541.39,603.06,0,0,0,0,0,0
6.50,3696.00,680.00,3572.31,618.45,0,0,0,0,0,0
6.55,3725.00,580.00,3602.85,610.76,0,0,0,0,0,0
6.60,3755.00,600.00,3633.28,608.61,0,0,0,0,0,0
6.65,3786.00,620.00,3663.82,610.88,0,0,0,0,0,0
6.70,3816.00,600.00,3694.26,608.71,0,0,0,0,0,0
6.75,3852.00,720.00,3725.81,630.97,0,0,0,0,0,0
6.80,3877.00,500.00,3756.05,604.78,0,0,0,0,0,0
6.85,3909.00,640.00,3786.64,611.82,0,0,0,0,0,0
6.90,3933.00,480.00,3815.91,585.45,0,0,0,0,0,0
6.95,3967.00,680.00,3846.13,604.37,0,0,0,0,0,0
7.00,3996.00,580.00,3876.10,599.49,0,0,0,0,0,0
7.05,4023.00,540.00,3905.48,587.59,0,0,0,0,0,0
7.10,4050.00,540.00,3934.39,578.08,0,0,0,0,0,0
7.15,4081.00,620.00,3963.71,586.46,0,0,0,0,0,0
7.20,4110.00,580.00,3992.97,585.17,0,0,0,0,0,0
7.25,4130.00,400.00,4020.37,548.13,0,0,0,0,0,0
7.30,4166.00,720.00,4049.50,582.50,0,0,0,0,0,0
7.35,4194.00,560.00,4078.40,578.01,0,0,0,0,0,0
7.40,4219.00,500.00,4106.52,562.40,0,0,0,0,0,0
7.45,4253.00,680.00,4135.82,585.93,0,0,0,0,0,0
7.50,4277.00,480.00,4164.05,564.74,0,0,0,0,0,0
7.55,4307.00,600.00,4192.64,571.79,0,0,0,0,0,0
7.60,4331.00,480.00,4220.31,553.44,0,0,0,0,0,0
7.65,4362.00,620.00,4248.65,566.75,0,0,0,0,0,0
7.70,4391.00,580.00,4277.12,569.39,0,0,0,0,0,0
7.75,4416.00,500.00,4304.90,555.52,0,0,0,0,0,0
7.80,4442.00,520.00,4332.32,548.42,0,0,0,0,0,0
7.85,4468.00,520.00,4359.45,542.73,0,0,0,0,0,0
7.90,4494.00,520.00,4386.36,538.18,0,0,0,0,0,0
7.95,4526.00,640.00,4414.29,558.54,0,0,0,0,0,0
8.00,4545.00,380.00,4440.43,522.84,0,0,0,0,0,0
8.05,4572.00,540.00,4466.75,526.27,0,0,0,0,0,0
8.10,4602.00,600.00,4493.80,541.02,0,0,0,0,0,0
8.15,4627.00,500.00,4520.44,532.81,0,0,0,0,0,0
8.20,4650.00,460.00,4546.35,518.25,0,0,0,0,0,0
8.25,4680.00,600.00,4573.08,534.60,0,0,0,0,0,0
8.30,4703.00,460.00,4599.06,519.68,0,0,0,0,0,0
8.35,4726.00,460.00,4624.45,507.74,0,0,0,0,0,0
8.40,4755.00,580.00,4650.56,522.20,0,0,0,0,0,0
8.45,4783.00,560.00,4677.05,529.76,0,0,0,0,0,0
8.50,4803.00,400.00,4702.24,503.81,0,0,0,0,0,0
8.55,4832.00,580.00,4728.19,519.04,0,0,0,0,0,0
8.60,4853.00,420.00,4753.15,499.24,0,0,0,0,0,0
8.65,4876.00,460.00,4777.72,491.39,0,0,0,0,0,0
